Sample ID,Storage Week,Ripening Stage,PB1,Cat,PB2,Epi,Chlor,Idaein,Q hyper,Rutin,Q gluc,Q xyl,Q arab,Q rham,Phlo,Glut-FL,Quin-FL,Malic-FL,Asc-FL,Shik-FL,Citric-FL,Glut-SK,Quin-SK ,Malic-SK ,Asc-SK,Shik-SK ,Citric-SK,Fructose,Sorbitol,Glucose,Sucrose,ABA,DPA ,PA ,7-OH-ABA ,ABA-GE ,TSS,Firmness
CA-S1,0,Early,0.274599847,0,0.995406926,2.196087742,0.456682577,0.911032364,1.799211567,0,0.202334783,0.422286037,0.773449703,0.967780021,0.237802323,12.15281238,0.80767886,19.36653701,0.587378526,0.067503387,0,6.558702871,1.188513807,14.32157266,1.394813579,0.127191668,0,354.8287144,10.3350353,16.18642124,234.1404361,350.0985706,13.4449772,13.22348312,11.86431618,74.69377373,13,73.03737
CA-S2,0,Early,0,0.234092682,1.220198182,2.837060258,0.354558849,2.144186979,0.889441087,0,0.105970954,0.28297656,0.544835186,0.566764117,0.207852972,16.43028752,1.073836906,21.69791645,0.500721081,0.083769332,0,7.567808398,1.396626062,15.43225516,1.493169732,0.121712387,1.367189838,378.4475712,10.802934,21.99817281,265.1897095,429.6186644,8.375021395,13.51697692,0,87.48507599,12.6,65.229505
CA-S3,0,Early,0.250841757,0,1.043645166,1.692014746,0.339689488,0.634237334,0.472328968,0,0.082389427,0.219009613,0.399520837,0.446956743,0.206890816,14.45336063,1.000116604,19.39040225,0.575144128,0.081236653,0,7.945593697,1.503299717,15.18593455,1.032939282,0.153476237,1.765503157,389.4728504,10.05213118,19.30023562,202.1413203,347.7417872,5.925960274,6.5619307,8.671530597,8.092443535,12,73.782965
CA-S4,0,Early,0.244124809,0,0.986908405,2.054372542,0.355035407,0.597184003,1.989655869,0.217237176,0.315534661,0.438721393,0.805648657,0.857788042,0.230533714,11.22656068,0.661888794,14.74860344,0.546090302,0.056248521,0,8.304672495,1.095181293,12.55336751,1.946877879,0.11661395,0,382.4817947,12.12121598,31.40525492,263.2950115,474.8071728,12.90013057,17.77100427,17.54862191,82.1326713,13.7,75.61283
CA-S5,0,Early,0.283833446,0,1.100220338,2.647771812,0.472575714,0.994253515,3.49909776,0.330093872,0.500106589,0.656098773,1.169151149,1.551499828,0.226547788,13.63157654,0.9182299,18.56963534,0.641789087,0.0735334,0,7.392447441,1.348261596,14.26624405,1.818306995,0.132899553,1.654832815,407.2825048,9.979398174,31.51432085,214.198008,206.7414086,8.741263567,14.06041711,11.06756531,65.02755634,12.05,66.773615
CA-S6,0,Early,0.200106,0,0.672549401,2.080203547,0.490785253,1.333726121,1.770336369,0.22074994,0.248755978,0.366310682,0.699630753,0.84122431,0.157167869,17.15065449,1.056344495,26.69842716,0.568227317,0.081579503,0,9.234514807,1.511358801,20.4544543,1.442879981,0.141371549,1.585414875,386.8599011,15.87112429,26.02667355,246.8099576,426.8664854,11.11272576,22.6433071,11.14616069,92.38580374,13.25,72.1599
CA-S7,0,Early,0.181935326,0,0.796541288,1.629085986,0.410906367,0.479433143,0.971609664,0.103960824,0.131002425,0.267422034,0.443755354,0.66914156,0.141012357,16.176495,1.196618671,20.50754557,0.768696058,0.08148575,0,8.357719248,1.501908464,15.71668979,1.625346261,0.154219417,1.637691401,343.7307775,10.59556513,22.41711693,213.8076661,219.5365579,7.065130522,12.66865024,6.843052292,64.61340255,13.1,66.26639
CA-S8,0,Early,0.210099232,0,0.962015052,1.920433058,0.344212593,0.548046179,1.202393813,0.112669441,0.183880008,0.299845301,0.547041687,0.583101111,0.151039383,18.84510316,1.257257289,22.52730576,0.717115919,0.089972917,0,9.110243976,1.53500402,15.77249288,1.38452569,0.157799504,1.501940411,414.1262726,9.540763264,34.5784798,199.2041049,231.7431882,10.08266581,15.3626436,9.38299619,101.4544039,12.25,68.525715
CA-S9,0,Early,0.190583499,0.020570421,1.01849156,2.37369346,0.400300389,0.68880202,0.467330984,0,0.097134078,0.196004055,0.377483126,0.437008402,0.166000223,20.17541068,1.734565504,24.07760368,0.598598484,0.117673292,0.347038412,8.347391697,2.261971335,13.17251436,0.892458605,0.185944178,1.468119245,414.3622797,8.764089453,31.21364799,181.0869573,166.0037018,9.874043169,16.36654823,13.46289085,114.1242458,11.3,66.106445
CA-S10,0,Early,0.235179758,0,1.345399067,1.918295105,0.494919669,0.63255163,1.090880465,0.096796202,0.18485445,0.336808863,0.614887472,0.80219609,0.223585497,13.4956071,0.995292201,16.58089391,0.468803286,0.072888241,0,9.225323438,1.81042017,14.18591396,1.561521958,0.147719522,1.375268473,413.101235,12.29777644,23.0374697,214.3904893,130.3360723,15.23280128,17.73849749,11.05339284,98.00148588,13.3,74.793695
