Sample ID,Storage Week ,Ripening Stage,PB1,Cat,PB2,Epi,Chlor,Idaein,Q hyper,Rutin,Q gluc,Q xyl,Q arab,Q rham,Phlo,Glut-FL,Quin-FL,Malic-FL,Asc-FL,Shik-FL,Citric-FL,Glut-SK,Quin-SK,Malic-SK,Asc-SK,Shik-SK,Citric-SK,Fructose,Sorbitol,Glucose,Sucrose,ABA,DPA,PA,7OH-ABA,ABA-GE,TSS,Firmness
DCA1_S1,0,Early,0.03,0.01,0.86,2.09,0.33,0.79,0.99,0,0.07,0.23,1.22,0.5,0.15,17.68,1.28,23.02,0.2,0.09,0,6.661,0.765,13.401,1,0.096,0.23,222.849,4.854,40.561,103.764,60.4,22.6,3.7,8.4,126.8,12.8,76.99127
DCA1_S2,0,Early,0.17,0.1,0.96,1.79,0.32,0.06,0.83,0,0.09,0.21,1.15,0.5,0.12,22.41,2.23,24.57,0.23,0.12,0.28,6.69,3.541,12.272,1.496,0.171,0.156,185.24,0,39.777,49.881,69.2,71.3,0,7.4,141.5,12.4,80.94311
DCA1_S3,0,Early,0.13,0.07,0.76,1.62,0.35,0.26,1.62,0.04,0.16,0.3,1.5,0.58,0.09,11.18,1.01,15.86,0.23,0.06,0,8.469,1.013,10.583,1.39,0.077,0,176.988,5.999,33.468,94.923,51.7,45.1,4,9.3,97.8,14.55,84.49168
DCA1_S4,0,Early,0.13,0.09,1.05,2.16,0.33,0.47,0.92,0,0.07,0.23,1.27,0.45,0.14,8.86,0.85,12.62,0.19,0.05,0,7.221,0,8.397,0.953,0.055,0.282,131.929,4.48,30.216,76.731,48.2,27.7,3.7,5.5,54.9,14.25,80.63951
DCA1_S5,0,Early,0.1,0.1,0.82,2.13,0.38,0.68,1.36,0,0.08,0.27,1.35,0.65,0.09,9.82,1.08,14.67,0.21,0.04,0,6.2,1.087,10.196,0.892,0.041,0,136.114,0,30.118,77.048,40.4,33.4,3.7,8.7,46.1,14.9,85.49881
DCA1_S6,0,Early,0.08,0.05,0.79,1.95,0.44,0.28,1.11,0.02,0.13,0.27,1.38,0.54,0.14,17.27,1.44,29.63,0.38,0.09,0.33,11.6,1.561,17.468,1.652,0.099,0.169,158.136,6.562,33.684,108.048,48.7,20.9,3.8,7,88.9,15.65,87.204155
DCA1_S7,0,Early,0.12,0.13,1.14,2.33,0.46,0.36,0.92,0,0.12,0.34,1.65,0.6,0.25,18.24,0.75,24.83,0.09,0.09,0.34,6.601,1.421,12.122,0.324,0.076,0,459.963,20.419,96.714,224.382,185.85,0.1,3.55,5.45,90.2,14,88.76544
DCA1_S8,0,Early,0.26,0.19,1.48,2.68,0.69,0.38,1.83,0,0.17,0.44,2.19,0.77,0.27,20.18,1.79,25.87,0.05,0.14,0.39,17.887,3.572,19.521,1.265,0.191,0,497.969,16.665,120.158,151.583,76.9,0.1,0,6.65,110.95,13.7,77.405965
DCA1_S9,0,Early,0.21,0.29,1.42,4.03,0.72,2.21,6.88,0.5,1.07,1.01,4.39,1.67,0.2,19.3,0.79,21.46,0.2,0.06,0.3,17.454,2.043,12.552,1.359,0.063,0,423.581,28.987,90.873,251.56,88.7,0.55,0,7.25,63.6,15.55,90.91772
DCA1_S10,0,Early,0.21,0.19,1.34,2.8,0.89,0.39,1.15,0,0.13,0.33,1.76,0.62,0.21,20.77,1.12,31.93,0.16,0.11,0.42,14.309,2.042,16.561,0.95,0.099,0,382.794,17.361,86.016,175.501,75.5,0.1,0,3.05,111.95,14.3,92.346505
